alpha,c_l,c_d,c_m,converged
10.8,0.52,0.1661,-0.000544,1.0
10.81,0.52,0.1663,-0.0005956,1.0
10.82,0.5205,0.1664,-0.0006466,1.0
10.83,0.5205,0.1665,-0.000698,1.0
10.84,0.5205,0.1666,-0.0007496,1.0
10.85,0.521,0.1667,-0.000801,1.0
10.86,0.521,0.1669,-0.0008526,1.0
10.87,0.5215,0.167,-0.000904,1.0
10.88,0.5215,0.1671,-0.0009556,1.0
10.89,0.5215,0.1672,-0.001007,1.0
10.9,0.522,0.1674,-0.001059,1.0
10.91,0.522,0.1675,-0.00111,1.0
10.92,0.5225,0.1676,-0.001162,1.0
10.93,0.5225,0.1677,-0.001213,1.0
10.94,0.523,0.1678,-0.001265,1.0
10.95,0.523,0.168,-0.001316,1.0
10.96,0.523,0.1681,-0.001368,1.0
10.97,0.5234,0.1682,-0.001419,1.0
10.98,0.5234,0.1683,-0.001471,1.0
10.99,0.524,0.1685,-0.001521,1.0
11.0,0.524,0.1686,-0.001573,1.0
11.01,0.524,0.1687,-0.001624,1.0
11.02,0.5244,0.1688,-0.001676,1.0
11.03,0.5244,0.169,-0.001727,1.0
11.04,0.525,0.1691,-0.001779,1.0
11.05,0.525,0.1692,-0.00183,1.0
11.06,0.5254,0.1693,-0.001882,1.0
11.07,0.5254,0.1694,-0.001933,1.0
11.08,0.5254,0.1696,-0.001984,1.0
11.09,0.526,0.1697,-0.002035,1.0
11.1,0.526,0.1698,-0.002087,1.0
11.11,0.5264,0.1699,-0.002138,1.0
11.12,0.5264,0.17,-0.00219,1.0
11.13,0.527,0.1702,-0.002241,1.0
11.14,0.527,0.1703,-0.002293,1.0
11.15,0.527,0.1704,-0.002344,1.0
11.16,0.5273,0.1705,-0.002396,1.0
11.17,0.5273,0.1707,-0.002447,1.0
11.18,0.528,0.1708,-0.002499,1.0
11.19,0.528,0.1709,-0.00255,1.0
11.2,0.5283,0.171,-0.002602,1.0
11.21,0.5283,0.1711,-0.002653,1.0
11.22,0.5283,0.1713,-0.002705,1.0
11.23,0.529,0.1714,-0.002756,1.0
11.24,0.529,0.1715,-0.002808,1.0
11.25,0.5293,0.1716,-0.00286,1.0
11.26,0.5293,0.1718,-0.00291,1.0
11.27,0.53,0.1719,-0.002962,1.0
11.28,0.53,0.172,-0.003014,1.0
11.29,0.53,0.1721,-0.003065,1.0
11.3,0.5303,0.1722,-0.003117,1.0
11.31,0.5303,0.1722,-0.003168,1.0
11.32,0.531,0.1724,-0.00322,1.0
11.33,0.531,0.1725,-0.003271,1.0
11.34,0.5312,0.1726,-0.003323,1.0
11.35,0.5312,0.1727,-0.003374,1.0
11.36,0.5312,0.1729,-0.003426,1.0
11.37,0.5317,0.173,-0.003477,1.0
11.38,0.5317,0.1731,-0.003527,1.0
11.39,0.532,0.1732,-0.003578,1.0
11.4,0.532,0.1733,-0.00363,1.0
11.41,0.5327,0.1735,-0.003681,1.0
11.42,0.5327,0.1736,-0.003733,1.0
11.43,0.533,0.1737,-0.003784,1.0
11.44,0.533,0.1738,-0.003836,1.0
11.45,0.533,0.174,-0.003887,1.0
11.46,0.5337,0.1741,-0.00394,1.0
11.47,0.5337,0.1742,-0.00399,1.0
11.48,0.534,0.1743,-0.004044,1.0
11.49,0.534,0.1744,-0.004093,1.0
11.5,0.5347,0.1746,-0.004147,1.0
11.51,0.5347,0.1747,-0.004196,1.0
11.52,0.535,0.1748,-0.00425,1.0
11.53,0.535,0.1749,-0.0043,1.0
11.54,0.535,0.175,-0.004353,1.0
11.55,0.5356,0.1752,-0.004402,1.0
11.56,0.5356,0.1753,-0.004456,1.0
11.57,0.536,0.1754,-0.004505,1.0
11.58,0.536,0.1755,-0.004555,1.0
11.59,0.5366,0.1757,-0.00461,1.0
11.6,0.5366,0.1758,-0.004658,1.0
11.61,0.537,0.1759,-0.00471,1.0
11.62,0.537,0.176,-0.00476,1.0
11.63,0.537,0.1761,-0.004814,1.0
11.64,0.5376,0.1763,-0.004864,1.0
11.65,0.5376,0.1764,-0.004917,1.0
11.66,0.538,0.1765,-0.004967,1.0
11.67,0.538,0.1766,-0.00502,1.0
11.68,0.5386,0.1768,-0.00507,1.0
11.69,0.5386,0.1769,-0.005123,1.0
11.7,0.539,0.177,-0.005173,1.0
11.71,0.539,0.1771,-0.005226,1.0
11.72,0.5396,0.1772,-0.005276,1.0
11.73,0.5396,0.1774,-0.00533,1.0
11.74,0.5396,0.1775,-0.00538,1.0
11.75,0.54,0.1776,-0.005432,1.0
11.76,0.54,0.1777,-0.00548,1.0
11.77,0.5405,0.1779,-0.005535,1.0
11.78,0.5405,0.178,-0.005585,1.0
11.79,0.541,0.1781,-0.00564,1.0
11.8,0.541,0.1782,-0.005688,1.0
11.81,0.5415,0.1783,-0.00574,1.0
11.82,0.5415,0.1785,-0.00579,1.0
11.83,0.542,0.1786,-0.005844,1.0
11.84,0.542,0.1787,-0.005894,1.0
11.85,0.542,0.1788,-0.005947,1.0
11.86,0.5425,0.179,-0.005997,1.0
11.87,0.5425,0.1791,-0.00605,1.0
11.88,0.543,0.1792,-0.0061,1.0
