alpha,c_l,c_d,c_m,converged
-54.84,-43.22,0.00235,14.34,0.0
-54.84,-55.2,0.0915,20.19,0.0
-54.84,-61.9,0.013855,20.81,0.0
-54.8,-33.66,0.00645,11.9,0.0
-54.8,-46.9,0.001208,17.52,0.0
-54.8,-43.88,0.05054,15.94,0.0
-54.78,-61.8,0.02997,21.22,0.0
-54.78,-34.72,0.00393,12.74,0.0
-54.78,-61.94,0.04257,22.08,0.0
-54.75,-24.4,0.003756,7.812,0.0
-54.75,-33.5,0.00585,11.87,0.0
-54.75,-44.28,0.01694,13.836,0.0
-54.72,-64.44,0.10455,23.08,0.0
-54.72,-53.7,0.08997,19.19,0.0
-54.72,-43.97,0.001233,16.72,0.0
-54.7,-61.88,0.01581,21.12,0.0
-54.7,-51.8,0.06113,18.08,0.0
-54.7,-74.8,0.04953,28.2,0.0
-54.66,-25.52,0.0,10.734,0.0
-54.66,-42.7,0.03717,15.305,0.0
-54.66,-41.2,0.000731,14.72,0.0
-54.62,-23.48,0.00532,7.133,0.0
-54.62,-0.525,0.449,0.1569,0.0
-54.62,-44.44,0.1676,16.73,0.0
-54.62,-38.47,0.034,14.21,0.0
-54.6,-55.56,0.1415,22.69,0.0
-54.6,-49.6,0.0272,18.44,0.0
-54.6,-16.84,0.000195,6.94,0.0
-54.56,-35.75,0.008064,12.68,0.0
-54.56,-40.94,0.04544,13.85,0.0
-54.56,-56.66,0.07556,20.39,0.0
-54.53,-47.8,0.03772,17.12,0.0
-54.53,-43.72,0.003193,17.47,0.0
-54.53,-42.12,0.03784,14.9,0.0
-54.5,-49.03,0.03906,18.11,0.0
-54.5,-37.03,0.03308,12.87,0.0
-54.5,-52.28,0.10095,19.42,0.0
-54.47,-18.08,0.0,7.594,0.0
-54.47,-51.7,0.1271,18.56,0.0
-54.47,-52.72,0.02756,19.86,0.0
-54.44,-0.527,0.45,0.156,0.0
-54.44,-58.66,0.0634,20.97,0.0
-54.44,-23.55,0.4036,8.984,0.0
-54.4,-39.94,0.0628,14.41,0.0
-54.4,-56.0,0.11896,20.52,0.0
-54.4,-32.1,0.00412,11.664,0.0
-54.38,-10.266,0.0093,4.33,0.0
-54.38,-39.88,0.00217,14.57,0.0
-54.38,-46.8,0.0536,16.77,0.0
-54.38,-66.94,0.0871,26.02,0.0
-54.34,-11.66,0.03076,4.906,0.0
-54.34,-55.62,0.01979,21.72,0.0
-54.34,-34.03,0.00732,11.93,0.0
-54.3,-29.97,0.0,12.086,0.0
-54.3,-19.72,122.06,8.3,0.0
-54.3,-33.03,0.00832,11.55,0.0
-54.28,-63.94,0.001505,23.61,0.0
-54.28,-38.03,0.04828,13.54,0.0
-54.28,-50.66,0.00786,18.61,0.0
-54.25,-52.9,0.1255,20.02,0.0
-54.25,-51.62,0.04297,18.3,0.0
-54.25,-80.06,0.0588,31.88,0.0
-54.22,-50.66,0.02277,15.81,0.0
-54.22,-37.25,0.02292,13.01,0.0
-54.22,-54.8,0.05377,19.27,0.0
-54.2,-61.66,0.07477,22.19,0.0
-54.2,-32.97,0.0,11.47,0.0
-54.2,-32.84,0.0,11.414,0.0
-54.16,-32.94,0.0,11.45,0.0
-54.16,-55.3,0.088,20.92,0.0
-54.16,-54.38,0.03647,19.64,0.0
-54.12,-48.34,0.0829,19.08,0.0
-54.12,-32.97,0.0,11.46,0.0
-54.12,-59.84,0.04395,21.31,0.0
-54.12,-32.9,0.0,11.42,0.0
-54.1,-52.47,0.0453,18.23,0.0
-54.1,-50.62,0.001761,17.53,0.0
-54.1,-58.8,0.05264,20.92,0.0
-54.06,-0.5303,0.4534,0.1542,0.0
-54.06,-53.53,0.0877,19.22,0.0
-54.06,-34.66,0.000958,13.84,0.0
-54.03,-44.53,0.03072,15.8,0.0
-54.03,-70.25,0.0004654,26.55,0.0
-54.03,-32.53,0.0425,10.18,0.0
-54.0,-30.86,0.0,12.94,0.0
-54.0,-30.44,0.02344,9.664,0.0
-54.0,-33.62,0.001832,13.36,0.0
-53.97,-30.19,0.0005293,12.29,0.0
-53.97,-65.6,0.01723,22.47,0.0
